frameIndex,localTime,globalTime
574,59983.105300053,119947.10482759468
575,59983.138649158,119947.13817669968
576,59983.171968961,119947.17149650268
577,59983.20530088,119947.20482842167
578,59983.238641697,119947.23816923867
579,59983.271964033,119947.27149157468
580,59983.305296808,119947.30482434967
581,59983.338637518,119947.33816505969
582,59983.371968835,119947.37149637668
583,59983.40529788,119947.40482542169
584,59983.438625323,119947.43815286468
585,59983.4719457,119947.47147324169
586,59983.505293747,119947.50482128869
587,59983.538618381,119947.53814592268
588,59983.571952472,119947.57148001368
589,59983.605284741,119947.60481228269
590,59983.638600124,119947.63812766568
591,59983.671940058,119947.67146759968
592,59983.705268192,119947.70479573368
593,59983.738596949,119947.73812449069
594,59983.771933551,119947.77146109268
595,59983.805269613,119947.80479715468
596,59983.838600119,119947.83812766068
597,59983.871919542,119947.87144708369
598,59983.905256978,119947.90478451969
599,59983.938588903,119947.93811644468
600,59983.971910755,119947.97143829668
601,59984.00524168,119948.00476922168
602,59984.038572074,119948.03809961569
603,59984.071918872,119948.07144641368
604,59984.105237892,119948.10476543367
605,59984.138574358,119948.13810189968
606,59984.171913679,119948.17144122068
607,59984.20523706,119948.20476460169
608,59984.238569981,119948.23809752267
609,59984.271904961,119948.27143250269
610,59984.305227675,119948.30475521668
611,59984.338571654,119948.33809919568
612,59984.371895745,119948.37142328668
613,59984.405226307,119948.40475384868
614,59984.438550688,119948.43807822968
615,59984.471893441,119948.47142098268
616,59984.505216431,119948.50474397268
617,59984.538552807,119948.53808034868
618,59984.571882542,119948.57141008368
619,59984.605219626,119948.60474716767
620,59984.638549736,119948.63807727769
621,59984.671882405,119948.67140994668
622,59984.705203098,119948.70473063967
623,59984.738549098,119948.73807663968
624,59984.771869709,119948.77139725068
625,59984.805200002,119948.80472754368
626,59984.838532623,119948.83806016468
627,59984.871867229,119948.87139477069
628,59984.905190192,119948.90471773368
629,59984.938530589,119948.93805813068
630,59984.97186626,119948.97139380168
631,59985.005197199,119949.00472474069
632,59985.038523831,119949.03805137269
633,59985.071854085,119949.07138162668
634,59985.105183233,119949.10471077467
635,59985.138515071,119949.13804261267
636,59985.171842925,119949.17137046668
637,59985.205182556,119949.20471009768
638,59985.238499535,119949.23802707667
639,59985.271834748,119949.27136228967
640,59985.305160563,119949.30468810469
641,59985.338489943,119949.33801748468
642,59985.371839715,119949.37136725668
643,59985.405161719,119949.40468926067
644,59985.438491908,119949.43801944968
645,59985.471829247,119949.47135678868
646,59985.505156358,119949.50468389968
647,59985.538496237,119949.53802377867
648,59985.571815802,119949.57134334368
649,59985.605151389,119949.60467893069
650,59985.638474059,119949.63800160069
651,59985.671802127,119949.67132966868
652,59985.705148712,119949.70467625368
653,59985.738474257,119949.73800179869
654,59985.771799115,119949.77132665669
655,59985.805142492,119949.80467003369
656,59985.838469807,119949.83799734869
657,59985.871807144,119949.87133468568
658,59985.905133793,119949.90466133467
659,59985.938472422,119949.93799996367
660,59985.971791531,119949.97131907268
661,59986.005129074,119950.00465661568
662,59986.038459557,119950.03798709868
663,59986.07178452,119950.07131206169
664,59986.105118126,119950.10464566768
665,59986.138446838,119950.13797437967
666,59986.171781173,119950.17130871468
667,59986.205104399,119950.20463194068
668,59986.238436574,119950.23796411569
669,59986.271778718,119950.27130625967
670,59986.305108058,119950.30463559968
671,59986.338425495,119950.33795303668
672,59986.371760753,119950.37128829467
673,59986.405089301,119950.40461684269
674,59986.438428321,119950.43795586268
675,59986.471757285,119950.47128482668
